
<Produkt>,<Beschreibung>,<Verkaufspreis>,<Gewicht>,<Sonderangebot ( 0 /1 )>,<Min. Auftragsanzahl>,<Produktnummer>,<System ID>,<ID der Steuerklasse>,<Masseinheit ID>,<Zus&auml;tzliche Produktattribute>
AKS 20,Anreih-Klemmschelle,45.70,0,0,1,03269,1277,MwSt normal,13,"20,0 - 21,2",,,100,400
AKS 22,Anreih-Klemmschelle,46.70,0,0,1,03270,1278,MwSt normal,13,"21,5 - 22,5",,,100,400
AKS 23,Anreih-Klemmschelle,60.30,0,0,1,03054,1279,MwSt normal,13,"24,0 - 26,0",,,100,400
AKS 28,Anreih-Klemmschelle,55.35,0,0,1,03281,1280,MwSt normal,13,"27,5 - 28,5",,,75,300
AKS 29,Anreih-Klemmschelle,46.70,0,0,1,03076,1281,MwSt normal,13,"31,0 - 32,0",,,50,200
AKS 36,Anreih-Klemmschelle,67.46,0,0,1,03128,1282,MwSt normal,13,"38,0 - 40,0",,,50,200
AKS 50,Anreih-Klemmschelle,88.40,0,0,1,03304,1283,MwSt normal,13,"49,5 - 51,0",,,30,120
TB 10 UP,Tragb黦el unterputz,20.25,0,0,1,18197,1284,MwSt normal,13,,100 mm,,25,
TB 20 UP,Tragb黦el unterputz,69.00,0,0,1,18214,1285,MwSt normal,13,,200 mm,,75,
TB 10 AP,Tragb黦el aufputz,45.50,0,0,1,18184,1286,MwSt normal,13,,100 mm,,25,
TB 20 AP,Tragb黦el aufputz,210.75,0,0,1,18201,1287,MwSt normal,13,,200 mm,,75,
TA 30,Traganker,54.00,0,0,1,18227,1288,MwSt normal,13,,30 mm,,100,
TA 100,Traganker,63.00,0,0,1,18230,1289,MwSt normal,13,,100 mm,,100,
TA 30/25,Traganker,59.00,0,0,1,18142,1290,MwSt normal,13,,30 mm,,100,
TA 30/55,Traganker,32.00,0,0,1,18155,1291,MwSt normal,13,,30 mm,,50,
TA 100/25,Traganker,34.50,0,0,1,18168,1292,MwSt normal,13,,100 mm,,50,
TA 100/55,Traganker,47.00,0,0,1,18171,1293,MwSt normal,13,,100 mm,,50,
TAP,Tragankerplatte,30.00,0,0,1,18302,1294,MwSt normal,13,,,,100,
USE 16-20/55,Unterputzschelle einfach,21.00,0,0,1,18009,1295,MwSt normal,13,16 - 20,55,,75,
USE 20-25/55,Unterputzschelle einfach,31.00,0,0,1,18012,1296,MwSt normal,13,20 - 25,55,,100,
USE 25-32/55,Unterputzschelle einfach,40.00,0,0,1,18025,1297,MwSt normal,13,25 - 32,55,,100,
USD 16-20/25,Unterputzschelle doppelt,24.00,0,0,1,18113,1298,MwSt normal,13,16 - 20,25,,75,
USD 20-25/25,Unterputzschelle doppelt,37.00,0,0,1,18126,1299,MwSt normal,13,20 - 25,25,,100,
USD 25-32/25,Unterputzschelle doppelt,44.00,0,0,1,18139,1300,MwSt normal,13,25 - 32,25,,100,
USD 16-20/55,Unterputzschelle doppelt,24.75,0,0,1,18038,1301,MwSt normal,13,16 - 20,55,,75,
USD 20-25/55,Unterputzschelle doppelt,38.00,0,0,1,18315,1302,MwSt normal,13,20 - 25,55,,100,
USD 25-32/55,Unterputzschelle doppelt,46.00,0,0,1,18328,1303,MwSt normal,13,25 - 32,55,,100,
USA 16-20/55,Unterputzschelle autom.,24.75,0,0,1,18331,1304,MwSt normal,13,16 - 20,55 mm,,75,
USA 20-25/11,Unterputzschelle autom.,24.00,0,0,1,18344,1305,MwSt normal,13,20 - 25,11,,100,
USA 20-25/25,Unterputzschelle autom.,26.25,0,0,1,18357,1306,MwSt normal,13,20 - 25,25,,75,
USA 20-25/55,Unterputzschelle autom.,27.75,0,0,1,18360,1307,MwSt normal,13,20 - 25,55,,75,
USA 25-32/55,Unterputzschelle autom.,22.00,0,0,1,18100,1308,MwSt normal,13,25 - 32,55,,50,
